user,Time(KST),Solar_gen(Wh),Consumption(Wh),Battery_level(Wh),Battery_max(Wh),Power_sell(Wh),Power_buy(Wh),Price(Won),Tolerance(%),Action
user1,2024-01-04 09:00,1803,903,1628,5000,0,0,1271,10,idle
user1,2024-01-04 10:00,2312,236,2628,5000,0,0,1270,10,idle
user1,2024-01-04 11:00,2362,345,3628,5000,0,0,1245,10,idle
user1,2024-01-04 12:00,2419,406,4628,5000,1013,0,1332,15,sell
user1,2024-01-04 13:00,2364,351,5000,5000,1641,0,1313,15,sell
user1,2024-01-04 14:00,2256,224,5000,5000,2032,0,1213,15,sell
user1,2024-01-04 15:00,1800,558,5000,5000,1242,0,1230,15,sell
user1,2024-01-04 16:00,1197,763,5000,5000,434,0,1175,10,sell
user1,2024-01-04 17:00,698,847,4851,5000,0,0,1231,10,idle
user1,2024-01-04 18:00,9,841,4051,5000,0,0,1141,10,idle
user1,2024-01-04 19:00,96,938,3251,5000,0,0,1227,10,idle
user1,2024-01-04 20:00,0,773,2478,5000,0,0,1222,10,idle
user1,2024-01-04 21:00,0,597,1881,5000,0,0,1054,10,idle
user1,2024-01-04 22:00,0,150,1731,5000,0,0,1002,10,idle
user1,2024-01-04 23:00,0,531,1200,5000,0,0,968,10,idle
user1,2024-01-05 00:00,29,687,542,5000,0,0,1039,10,idle
user1,2024-01-05 01:00,26,520,500,5000,0,452,1078,15,buy
user1,2024-01-05 02:00,0,381,500,5000,0,381,1110,10,buy
user1,2024-01-05 03:00,0,228,500,5000,0,228,1052,10,buy
user1,2024-01-05 04:00,0,277,500,5000,0,277,1115,10,buy
user1,2024-01-05 05:00,0,606,500,5000,0,606,1069,15,buy
user1,2024-01-05 06:00,0,891,500,5000,0,891,1111,15,buy
user1,2024-01-05 07:00,566,1000,500,5000,0,434,1249,15,buy
user1,2024-01-05 08:00,1233,1000,733,5000,0,0,1295,10,idle
user1,2024-01-05 09:00,1808,883,1658,5000,0,0,1265,10,idle
user1,2024-01-05 10:00,2353,250,2658,5000,0,0,1140,10,idle
user1,2024-01-05 11:00,2432,323,3658,5000,0,0,1239,10,idle
user1,2024-01-05 12:00,2525,309,4658,5000,1216,0,1197,15,sell
user1,2024-01-05 13:00,2407,269,5000,5000,1796,0,1269,15,sell
user1,2024-01-05 14:00,1973,303,5000,5000,1670,0,1237,15,sell
user1,2024-01-05 15:00,1765,563,5000,5000,1202,0,1153,15,sell
user1,2024-01-05 16:00,1256,705,5000,5000,551,0,1129,15,sell
user1,2024-01-05 17:00,893,915,4978,5000,0,0,1134,10,idle
user1,2024-01-05 18:00,0,898,4178,5000,0,98,1177,10,buy
user1,2024-01-05 19:00,30,838,3378,5000,0,0,1238,10,idle
user1,2024-01-05 20:00,0,926,2578,5000,0,126,1140,10,buy
user1,2024-01-05 21:00,0,502,2076,5000,0,0,1145,10,idle
user1,2024-01-05 22:00,114,292,1898,5000,0,0,1028,10,idle
user1,2024-01-05 23:00,75,612,1361,5000,0,0,1018,10,idle
user1,2024-01-06 00:00,67,714,714,5000,0,0,965,10,idle
user1,2024-01-06 01:00,0,551,500,5000,0,337,928,10,buy
user1,2024-01-06 02:00,119,289,500,5000,0,170,947,10,buy
user1,2024-01-06 03:00,0,275,500,5000,0,275,922,10,buy
user1,2024-01-06 04:00,49,270,500,5000,0,221,1048,10,buy
user1,2024-01-06 05:00,186,642,500,5000,0,456,1046,15,buy
user1,2024-01-06 06:00,0,837,500,5000,0,837,1071,15,buy
user1,2024-01-06 07:00,501,1000,500,5000,0,499,1180,15,buy
user1,2024-01-06 08:00,1070,1000,570,5000,0,0,1195,10,idle
user1,2024-01-06 09:00,1459,898,1131,5000,0,0,1177,10,idle
user1,2024-01-06 10:00,1707,340,2131,5000,0,0,1167,10,idle
user1,2024-01-06 11:00,2057,331,3131,5000,0,0,1193,10,idle
user1,2024-01-06 12:00,2034,258,4131,5000,776,0,1148,15,sell
user1,2024-01-06 13:00,2092,271,5000,5000,952,0,1140,15,sell
user1,2024-01-06 14:00,1762,337,5000,5000,1425,0,1132,15,sell
user1,2024-01-06 15:00,1633,613,5000,5000,1020,0,1019,15,sell
user1,2024-01-06 16:00,995,698,5000,5000,297,0,1009,10,sell
user1,2024-01-06 17:00,521,888,4633,5000,0,0,1151,10,idle
user1,2024-01-06 18:00,68,883,3833,5000,0,0,1165,10,idle
user1,2024-01-06 19:00,0,870,3033,5000,0,70,1110,10,buy
user1,2024-01-06 20:00,18,846,2233,5000,0,0,1122,10,idle
user1,2024-01-06 21:00,110,589,1754,5000,0,0,1057,10,idle
user1,2024-01-06 22:00,0,289,1465,5000,0,0,1093,10,idle
user1,2024-01-06 23:00,15,637,843,5000,0,0,1014,10,idle
user1,2024-01-07 00:00,21,741,500,5000,0,377,964,10,buy
user1,2024-01-07 01:00,66,623,500,5000,0,557,931,15,buy
user1,2024-01-07 02:00,0,365,500,5000,0,365,905,10,buy
user1,2024-01-07 03:00,0,301,500,5000,0,301,978,10,buy
user1,2024-01-07 04:00,44,334,500,5000,0,290,939,10,buy
user1,2024-01-07 05:00,24,584,500,5000,0,560,988,15,buy
user1,2024-01-07 06:00,21,835,500,5000,0,814,1074,15,buy
user1,2024-01-07 07:00,578,1000,500,5000,0,422,1128,15,buy
user1,2024-01-07 08:00,1003,1000,503,5000,0,0,1267,10,idle
user1,2024-01-07 09:00,1521,912,1112,5000,0,0,1221,10,idle
user1,2024-01-07 10:00,1864,259,2112,5000,0,0,1142,10,idle
user1,2024-01-07 11:00,1991,404,3112,5000,0,0,1222,10,idle
user1,2024-01-07 12:00,2283,249,4112,5000,1034,0,1173,15,sell
user1,2024-01-07 13:00,2092,239,5000,5000,965,0,1128,15,sell
user1,2024-01-07 14:00,1738,357,5000,5000,1381,0,1204,15,sell
user1,2024-01-07 15:00,1558,622,5000,5000,936,0,1132,15,sell
user1,2024-01-07 16:00,979,731,5000,5000,248,0,1028,10,sell
user1,2024-01-07 17:00,616,914,4702,5000,0,0,1089,10,idle
user1,2024-01-07 18:00,97,819,3980,5000,0,0,1064,10,idle
user1,2024-01-07 19:00,0,855,3180,5000,0,55,1064,10,buy
user1,2024-01-07 20:00,81,823,2438,5000,0,0,1136,10,idle
user1,2024-01-07 21:00,34,566,1906,5000,0,0,1121,10,idle
user1,2024-01-07 22:00,69,348,1627,5000,0,0,914,10,idle
user1,2024-01-07 23:00,160,575,1212,5000,0,0,992,10,idle
